Local time,Open,High,Low,Close,Volume
14.11.2013 23:00:00.000 GMT+0900,160.63,160.914,160.532,160.572,47966.85
15.11.2013 03:00:00.000 GMT+0900,160.574,160.777,160.541,160.664,20262.19
15.11.2013 07:00:00.000 GMT+0900,160.664,161.149,160.644,161.008,22410.23
15.11.2013 11:00:00.000 GMT+0900,161.008,161.164,160.819,160.854,17035.49
15.11.2013 15:00:00.000 GMT+0900,160.859,161.316,160.699,161.139,30980.18
15.11.2013 19:00:00.000 GMT+0900,161.137,161.493,160.976,161.139,28529.23
15.11.2013 23:00:00.000 GMT+0900,161.139,161.646,161.124,161.453,37476.32
16.11.2013 03:00:00.000 GMT+0900,161.453,161.631,161.39,161.429,13716.56
16.11.2013 07:00:00.000 GMT+0900,161.429,161.429,161.429,161.429,0.0
16.11.2013 11:00:00.000 GMT+0900,161.429,161.429,161.429,161.429,0.0
16.11.2013 15:00:00.000 GMT+0900,161.429,161.429,161.429,161.429,0.0
16.11.2013 19:00:00.000 GMT+0900,161.429,161.429,161.429,161.429,0.0
16.11.2013 23:00:00.000 GMT+0900,161.429,161.429,161.429,161.429,0.0
17.11.2013 03:00:00.000 GMT+0900,161.429,161.429,161.429,161.429,0.0
17.11.2013 07:00:00.000 GMT+0900,161.429,161.429,161.429,161.429,0.0
17.11.2013 11:00:00.000 GMT+0900,161.429,161.429,161.429,161.429,0.0
17.11.2013 15:00:00.000 GMT+0900,161.429,161.429,161.429,161.429,0.0
17.11.2013 19:00:00.000 GMT+0900,161.429,161.429,161.429,161.429,0.0
17.11.2013 23:00:00.000 GMT+0900,161.429,161.429,161.429,161.429,0.0
18.11.2013 03:00:00.000 GMT+0900,161.429,161.429,161.429,161.429,0.0
18.11.2013 07:00:00.000 GMT+0900,161.651,161.753,161.459,161.605,15183.98
18.11.2013 11:00:00.000 GMT+0900,161.605,161.605,161.273,161.482,17718.44
18.11.2013 15:00:00.000 GMT+0900,161.482,161.539,161.043,161.152,27752.79
18.11.2013 19:00:00.000 GMT+0900,161.152,161.299,160.97,161.057,25524.34
18.11.2013 23:00:00.000 GMT+0900,161.057,161.291,160.974,161.183,31893.97
19.11.2013 03:00:00.000 GMT+0900,161.18,161.314,160.729,161.064,21533.84
19.11.2013 07:00:00.000 GMT+0900,161.064,161.086,160.491,160.494,22633.19
19.11.2013 11:00:00.000 GMT+0900,160.494,160.891,160.467,160.772,19504.33
19.11.2013 15:00:00.000 GMT+0900,160.773,161.02,160.416,160.531,30538.71
19.11.2013 19:00:00.000 GMT+0900,160.529,161.14,160.408,161.079,32399.96
19.11.2013 23:00:00.000 GMT+0900,161.083,161.611,160.96,161.372,43269.01
20.11.2013 03:00:00.000 GMT+0900,161.37,161.608,161.252,161.392,20182.02
20.11.2013 07:00:00.000 GMT+0900,161.389,161.716,161.16,161.259,23246.85
20.11.2013 11:00:00.000 GMT+0900,161.259,161.368,161.057,161.134,14737.34
20.11.2013 15:00:00.000 GMT+0900,161.138,161.599,161.105,161.234,32843.21
20.11.2013 19:00:00.000 GMT+0900,161.231,161.608,161.11,161.603,30013.92
20.11.2013 23:00:00.000 GMT+0900,161.605,161.7,161.303,161.499,43913.6
21.11.2013 03:00:00.000 GMT+0900,161.499,161.564,160.844,161.071,39298.41
21.11.2013 07:00:00.000 GMT+0900,161.074,161.705,161.011,161.528,25917.32
21.11.2013 11:00:00.000 GMT+0900,161.524,161.651,161.34,161.629,21773.5
